"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","缺少聊天必填字段时应在调用模型前返回参数错误","tests.drawio_agent","2026-08-06","skipped","2026-08-06","TestChatApi","test_chat","",""
"","24204","无额度用户应在调用模型前被流式聊天接口拒绝","tests.drawio_agent","2026-08-06","skipped","2026-08-06","TestChatStreamApi","test_chat_stream","",""
"","37","相同外部交易号重复锁单应返回同一订单","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","71","使用其他活动的队伍编号锁单时应被拒绝","tests.group_buy_market","2026-08-06","skipped","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","6","缺少交易号或通知配置时应返回非法参数","tests.group_buy_market","2026-08-06","skipped","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","12229","有额度用户完成流式聊天后应扣减并记录消费额度","tests.drawio_agent","2026-08-06","skipped","2026-08-06","TestChatStreamApi","test_chat_stream","",""
"","17535","相同 requestId 重试图片解析时不应重复扣减额度","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestAnalyzeDiagramImageApi","test_analyze_diagram_image","",""
"","5","使用有效智能体成功创建会话","tests.drawio_agent","2026-08-06","passed","2026-08-06","","test_session","",""
"","5","缺少聊天必填字段时应在调用模型前返回参数错误","tests.drawio_agent","2026-08-06","skipped","2026-08-06","TestChatApi","test_chat","",""
"","11101","sessionId 不存在时自动重建会话并正常扣减额度","tests.e2e","2026-08-06","passed","2026-08-06","TestChatCreditFlow","test_chat_credit_flow","",""
"","4","缺少锁单必填字段时应返回非法参数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","11","使用不存在的活动编号锁单时应被拒绝","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","9","空订单列表通知作为安全空操作处理","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestCreditApi","test_credit","",""
"","91","重复成团通知只发放一次额度","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestCreditApi","test_credit","",""
"","18953","购买额度后聊天成功且重复 requestId 不重复扣减","tests.e2e","2026-08-06","passed","2026-08-06","TestChatCreditFlow","test_chat_credit_flow","",""
"","6","缺少锁单必填字段时应返回非法参数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","15","成功查询商品的有效拼团活动","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketConfigApi","test_market_config","",""
"","5","无可用额度时拒绝发起 AI 对话","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestChatApi","test_chat","",""
"","6","来源或渠道没有配置活动时应返回无拼团营销配置","tests.group_buy_market","2026-08-06","skipped","2026-08-06","TestMarketConfigApi","test_market_config","",""
"","7","使用无效智能体 ID 创建会话：999999","tests.drawio_agent","2026-08-06","skipped","2026-08-06","","test_session","",""
"","8418","其他用户使用已有 sessionId 时不得接入原会话","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestChatApi","test_chat","",""
"","5","缺少活动查询必填字段时应返回非法参数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketConfigApi","test_market_config","",""
"","15","支付金额为负数时拒绝购买额度","tests.drawio_agent","2026-08-06","skipped","2026-08-06","TestCreditPurchaseApi","test_credit_purchase","",""
"","21","额度数量非法时拒绝购买：-1","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestCreditPurchaseApi","test_credit_purchase","",""
"","11","不存在的订单号进入发放失败列表","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestCreditApi","test_credit","",""
"","5","缺少活动查询必填字段时应返回非法参数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketConfigApi","test_market_config","",""
"","48","成功结算拼团订单并更新支付状态","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","68","重复支付结算被拒绝且不重复增加拼团完成人数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","4","缺少锁单必填字段时应返回非法参数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","42","成功锁定并查询拼团订单","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","39","相同订单号但 credits 不一致时拒绝重复购买","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestCreditPurchaseApi","test_credit_purchase","",""
